
Perfect: 50/504 (9.92%)
Incomplete: 301/504 (59.72%)
Have Extras: 275/504 (54.56%)
Contain Garbage: 4/504 (0.79%)
Missing Values: 732
Extra Values: 606
Garbage Values: 4
NAME: unique: 197/504 (39.09%), valid: 351/504 (69.64%), missing: 48/504 (9.52%), extra: 105/504 (20.83%), 
CATEGORY: unique: 231/504 (45.83%), valid: 405/504 (80.36%), missing: 66/504 (13.10%), extra: 33/504 (6.55%), 
TYPES: unique: 32/504 (6.35%), valid: 392/504 (77.78%), missing: 63/504 (12.50%), extra: 49/504 (9.72%), 
ABILITIES: unique: 344/504 (68.25%), valid: 387/504 (76.79%), missing: 50/504 (9.92%), extra: 67/504 (13.29%), 
MOVES: unique: 402/504 (79.76%), valid: 371/504 (73.61%), missing: 55/504 (10.91%), extra: 78/504 (15.48%), 
HEIGHT: unique: 1/504 (0.20%), valid: 429/504 (85.12%), missing: 61/504 (12.10%), extra: 14/504 (2.78%), 
WEIGHT: unique: 61/504 (12.10%), valid: 339/504 (67.26%), missing: 159/504 (31.55%), extra: 6/504 (1.19%), 
COLOR: unique: 0/504 (0.00%), valid: 394/504 (78.17%), missing: 63/504 (12.50%), extra: 47/504 (9.33%), 
SHAPE: unique: 0/504 (0.00%), valid: 367/504 (72.82%), missing: 69/504 (13.69%), extra: 68/504 (13.49%), 
HABITAT: unique: 0/504 (0.00%), valid: 357/504 (70.83%), missing: 26/504 (5.16%), extra: 121/504 (24.01%), 
DESCRIPTION: unique: 432/504 (85.71%), valid: 415/504 (82.34%), missing: 72/504 (14.29%), extra: 17/504 (3.37%), 
